VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
SimpleFlight	1778773385512	-609.176	125.944	-11.237	-0.00872656	0.00137349	1.20088e-05	0.999961	img_SimpleFlight_0_0_1778773413461560600.png;img_SimpleFlight_0_5_1778773413462997300.png;img_SimpleFlight_0_3_1778773413464137700.ppm
SimpleFlight	1778773386100	-609.753	125.934	-11.2328	-0.00872657	0.000766968	6.70021e-06	0.999962	img_SimpleFlight_0_0_1778773414056427100.png;img_SimpleFlight_0_5_1778773414057776800.png;img_SimpleFlight_0_3_1778773414058657200.ppm
SimpleFlight	1778773386685	-610.336	125.923	-11.2297	-0.00872657	0.000513072	4.4834e-06	0.999962	img_SimpleFlight_0_0_1778773414655839100.png;img_SimpleFlight_0_5_1778773414657578800.png;img_SimpleFlight_0_3_1778773414658512700.ppm
SimpleFlight	1778773387432	-611.081	125.91	-11.2267	-0.00872657	0.000389447	3.39729e-06	0.999962	img_SimpleFlight_0_0_1778773415414572200.png;img_SimpleFlight_0_5_1778773415415685100.png;img_SimpleFlight_0_3_1778773415416385700.ppm
SimpleFlight	1778773388191	-611.838	125.896	-11.224	-0.00872657	0.000348082	3.03257e-06	0.999962	img_SimpleFlight_0_0_1778773416175241700.png;img_SimpleFlight_0_5_1778773416176285800.png;img_SimpleFlight_0_3_1778773416183554800.ppm
SimpleFlight	1778773388950	-612.594	125.883	-11.2216	-0.00872657	0.000334634	2.92666e-06	0.999962	img_SimpleFlight_0_0_1778773416944785100.png;img_SimpleFlight_0_5_1778773416945790400.png;img_SimpleFlight_0_3_1778773416946296900.ppm
SimpleFlight	1778773389703	-613.345	125.87	-11.2192	-0.00872657	0.000330251	2.88143e-06	0.999962	img_SimpleFlight_0_0_1778773417707928100.png;img_SimpleFlight_0_5_1778773417708996500.png;img_SimpleFlight_0_3_1778773417709787800.ppm
SimpleFlight	1778773390252	-613.892	125.86	-11.2174	-0.00872657	0.000329099	2.86154e-06	0.999962	img_SimpleFlight_0_0_1778773418296638300.png;img_SimpleFlight_0_5_1778773418298065700.png;img_SimpleFlight_0_3_1778773418298955800.ppm
SimpleFlight	1778773390807	-614.445	125.85	-11.2157	-0.00872657	0.000328455	2.87199e-06	0.999962	img_SimpleFlight_0_0_1778773418890595100.png;img_SimpleFlight_0_5_1778773418891956200.png;img_SimpleFlight_0_3_1778773418897422900.ppm
SimpleFlight	1778773391404	-615.041	125.839	-11.2138	-0.00872657	0.000328389	2.87061e-06	0.999962	img_SimpleFlight_0_0_1778773419517115300.png;img_SimpleFlight_0_5_1778773419518441900.png;img_SimpleFlight_0_3_1778773419519233700.ppm
SimpleFlight	1778773392025	-615.66	125.828	-11.2118	-0.00872657	0.000328376	2.87612e-06	0.999962	img_SimpleFlight_0_0_1778773420142240500.png;img_SimpleFlight_0_5_1778773420143222000.png;img_SimpleFlight_0_3_1778773420143623700.ppm
SimpleFlight	1778773392631	-616.264	125.817	-11.2099	-0.00872657	0.000328376	2.87624e-06	0.999962	img_SimpleFlight_0_0_1778773420758629900.png;img_SimpleFlight_0_5_1778773420760045000.png;img_SimpleFlight_0_3_1778773420762053300.ppm
SimpleFlight	1778773393246	-616.877	125.806	-11.2079	-0.00872657	0.00032838	2.86913e-06	0.999962	img_SimpleFlight_0_0_1778773421394073200.png;img_SimpleFlight_0_5_1778773421395341800.png;img_SimpleFlight_0_3_1778773421396029300.ppm
SimpleFlight	1778773393864	-617.493	125.795	-11.2059	-0.00872657	0.000328344	2.86576e-06	0.999962	img_SimpleFlight_0_0_1778773422023842500.png;img_SimpleFlight_0_5_1778773422026038700.png;img_SimpleFlight_0_3_1778773422027541700.ppm
SimpleFlight	1778773394482	-618.109	125.784	-11.204	-0.00872657	0.000328308	2.86239e-06	0.999962	img_SimpleFlight_0_0_1778773422670895000.png;img_SimpleFlight_0_5_1778773422672506300.png;img_SimpleFlight_0_3_1778773422675977300.ppm
SimpleFlight	1778773395121	-618.746	125.773	-11.202	-0.00872657	0.000328271	2.8589e-06	0.999962	img_SimpleFlight_0_0_1778773423311588700.png;img_SimpleFlight_0_5_1778773423313130900.png;img_SimpleFlight_0_3_1778773423313698700.ppm
SimpleFlight	1778773395721	-619.344	125.762	-11.2	-0.00872657	0.000328236	2.85563e-06	0.999962	img_SimpleFlight_0_0_1778773423917841000.png;img_SimpleFlight_0_5_1778773423918767300.png;img_SimpleFlight_0_3_1778773423919833900.ppm
SimpleFlight	1778773396309	-619.93	125.752	-11.1982	-0.00872657	0.000328201	2.85242e-06	0.999962	img_SimpleFlight_0_0_1778773424499664600.png;img_SimpleFlight_0_5_1778773424500971100.png;img_SimpleFlight_0_3_1778773424501794900.ppm
SimpleFlight	1778773397098	-620.717	125.738	-11.1957	-0.00872657	0.000328175	2.84829e-06	0.999962	img_SimpleFlight_0_0_1778773425300925600.png;img_SimpleFlight_0_5_1778773425301875600.png;img_SimpleFlight_0_3_1778773425302856900.ppm
SimpleFlight	1778773397863	-621.48	125.724	-11.1932	-0.00872657	0.000328268	2.85026e-06	0.999962	img_SimpleFlight_0_0_1778773426077846800.png;img_SimpleFlight_0_5_1778773426079019400.png;img_SimpleFlight_0_3_1778773426080002200.ppm
SimpleFlight	1778773398442	-622.053	125.714	-11.1763	-0.0087267	-0.00262005	-2.44046e-05	0.999959	img_SimpleFlight_0_0_1778773426675511000.png;img_SimpleFlight_0_5_1778773426678338900.png;img_SimpleFlight_0_3_1778773426678783500.ppm
SimpleFlight	1778773399027	-622.603	125.705	-11.1308	-0.0087266	0.00310545	2.83909e-05	0.999957	img_SimpleFlight_0_0_1778773427257700500.png;img_SimpleFlight_0_5_1778773427259572600.png;img_SimpleFlight_0_3_1778773427261580500.ppm
SimpleFlight	1778773399810	-623.353	125.691	-11.0985	-0.00872654	0.00177696	1.62058e-05	0.99996	img_SimpleFlight_0_0_1778773428056790000.png;img_SimpleFlight_0_5_1778773428058108100.png;img_SimpleFlight_0_3_1778773428058958400.ppm
SimpleFlight	1778773400608	-624.135	125.677	-11.0832	-0.00872656	0.000785343	7.07606e-06	0.999962	img_SimpleFlight_0_0_1778773428859935000.png;img_SimpleFlight_0_5_1778773428861274500.png;img_SimpleFlight_0_3_1778773428866710400.ppm
SimpleFlight	1778773401196	-624.721	125.667	-11.0771	-0.00872657	0.000520408	4.63411e-06	0.999962	img_SimpleFlight_0_0_1778773429475970600.png;img_SimpleFlight_0_5_1778773429476961600.png;img_SimpleFlight_0_3_1778773429478026900.ppm
SimpleFlight	1778773401784	-625.308	125.656	-11.073	-0.00872657	0.000408839	3.6117e-06	0.999962	img_SimpleFlight_0_0_1778773430076714100.png;img_SimpleFlight_0_5_1778773430078079100.png;img_SimpleFlight_0_3_1778773430078914200.ppm
SimpleFlight	1778773402369	-625.891	125.646	-11.0701	-0.00872657	0.000362128	3.17358e-06	0.999962	img_SimpleFlight_0_0_1778773430681700800.png;img_SimpleFlight_0_5_1778773430682615500.png;img_SimpleFlight_0_3_1778773430683034100.ppm
SimpleFlight	1778773402969	-626.489	125.635	-11.0676	-0.00872657	0.000342136	2.99854e-06	0.999962	img_SimpleFlight_0_0_1778773431296369700.png;img_SimpleFlight_0_5_1778773431297424600.png;img_SimpleFlight_0_3_1778773431298081400.ppm
SimpleFlight	1778773403758	-627.276	125.621	-11.0648	-0.00872657	0.000332491	2.90072e-06	0.999962	img_SimpleFlight_0_0_1778773432076733500.png;img_SimpleFlight_0_5_1778773432084454800.png;img_SimpleFlight_0_3_1778773432086602400.ppm
SimpleFlight	1778773404541	-628.056	125.607	-11.0623	-0.00872657	0.000329503	2.87373e-06	0.999962	img_SimpleFlight_0_0_1778773432882912100.png;img_SimpleFlight_0_5_1778773432885139500.png;img_SimpleFlight_0_3_1778773432886917100.ppm
SimpleFlight	1778773405333	-628.846	125.593	-11.0598	-0.00872657	0.000328489	2.86783e-06	0.999962	img_SimpleFlight_0_0_1778773433681661800.png;img_SimpleFlight_0_5_1778773433683975200.png;img_SimpleFlight_0_3_1778773433685385500.ppm
SimpleFlight	1778773405924	-629.435	125.582	-11.0579	-0.00872657	0.000328383	2.87506e-06	0.999962	img_SimpleFlight_0_0_1778773434288840500.png;img_SimpleFlight_0_5_1778773434290176100.png;img_SimpleFlight_0_3_1778773434290949200.ppm
SimpleFlight	1778773406695	-630.203	125.569	-11.0555	-0.00872657	0.000328391	2.85379e-06	0.999962	img_SimpleFlight_0_0_1778773435090851300.png;img_SimpleFlight_0_5_1778773435091717300.png;img_SimpleFlight_0_3_1778773435092043200.ppm
SimpleFlight	1778773407271	-630.778	125.558	-11.0536	-0.00872657	0.000328398	2.84649e-06	0.999962	img_SimpleFlight_0_0_1778773435677764900.png;img_SimpleFlight_0_5_1778773435679176500.png;img_SimpleFlight_0_3_1778773435680065400.ppm
SimpleFlight	1778773407844	-631.349	125.548	-11.0518	-0.00872657	0.00032837	2.87532e-06	0.999962	img_SimpleFlight_0_0_1778773436272357700.png;img_SimpleFlight_0_5_1778773436274619500.png;img_SimpleFlight_0_3_1778773436275458100.ppm
SimpleFlight	1778773408588	-632.091	125.535	-11.0495	-0.00872657	0.00032838	2.8694e-06	0.999962	img_SimpleFlight_0_0_1778773437043175000.png;img_SimpleFlight_0_5_1778773437045402000.png;img_SimpleFlight_0_3_1778773437047182300.ppm
SimpleFlight	1778773409350	-632.837	125.521	-11.0167	-0.00872669	0.00111562	1.01043e-05	0.999961	img_SimpleFlight_0_0_1778773437832655100.png;img_SimpleFlight_0_5_1778773437834658800.png;img_SimpleFlight_0_3_1778773437835493000.ppm
SimpleFlight	1778773409941	-633.408	125.511	-10.9869	-0.00872651	0.00164962	1.50797e-05	0.999961	img_SimpleFlight_0_0_1778773438436382800.png;img_SimpleFlight_0_5_1778773438437291500.png;img_SimpleFlight_0_3_1778773438438203500.ppm
SimpleFlight	1778773410514	-633.967	125.501	-10.9708	-0.00872654	0.000943904	8.56111e-06	0.999961	img_SimpleFlight_0_0_1778773439044008200.png;img_SimpleFlight_0_5_1778773439045324200.png;img_SimpleFlight_0_3_1778773439046130700.ppm
SimpleFlight	1778773411261	-634.71	125.487	-10.9594	-0.00872654	0.000534978	4.78044e-06	0.999962	img_SimpleFlight_0_0_1778773439831982200.png;img_SimpleFlight_0_5_1778773439832940600.png;img_SimpleFlight_0_3_1778773439833819700.ppm
SimpleFlight	1778773411834	-635.282	125.477	-10.9544	-0.00872654	0.000417002	3.68523e-06	0.999962	img_SimpleFlight_0_0_1778773440400411500.png;img_SimpleFlight_0_5_1778773440402459100.png;img_SimpleFlight_0_3_1778773440404023000.ppm
SimpleFlight	1778773412584	-636.029	125.464	-10.9499	-0.00872654	0.000357486	3.1404e-06	0.999962	img_SimpleFlight_0_0_1778773441181840700.png;img_SimpleFlight_0_5_1778773441182794300.png;img_SimpleFlight_0_3_1778773441183317900.ppm
SimpleFlight	1778773413169	-636.612	125.453	-10.9474	-0.00872654	0.000340491	2.97902e-06	0.999962	img_SimpleFlight_0_0_1778773441771722400.png;img_SimpleFlight_0_5_1778773441773096000.png;img_SimpleFlight_0_3_1778773441774668700.ppm
SimpleFlight	1778773413928	-637.369	125.44	-10.9446	-0.00872654	0.000332155	2.8893e-06	0.999962	img_SimpleFlight_0_0_1778773442546282800.png;img_SimpleFlight_0_5_1778773442547617400.png;img_SimpleFlight_0_3_1778773442548237200.ppm
SimpleFlight	1778773414693	-638.132	125.426	-10.9421	-0.00872654	0.000329449	2.87498e-06	0.999962	img_SimpleFlight_0_0_1778773443311279100.png;img_SimpleFlight_0_5_1778773443312579100.png;img_SimpleFlight_0_3_1778773443314151900.ppm
SimpleFlight	1778773415446	-638.882	125.413	-10.9397	-0.00872654	0.00032851	2.87284e-06	0.999962	img_SimpleFlight_0_0_1778773444067196100.png;img_SimpleFlight_0_5_1778773444068477600.png;img_SimpleFlight_0_3_1778773444069027700.ppm
SimpleFlight	1778773416202	-639.636	125.399	-10.9373	-0.00872654	0.000328394	2.86552e-06	0.999962	img_SimpleFlight_0_0_1778773444857648900.png;img_SimpleFlight_0_5_1778773444858922900.png;img_SimpleFlight_0_3_1778773444859651400.ppm
SimpleFlight	1778773416967	-640.399	125.386	-10.9348	-0.00872654	0.000328403	2.86377e-06	0.999962	img_SimpleFlight_0_0_1778773445614987000.png;img_SimpleFlight_0_5_1778773445617353400.png;img_SimpleFlight_0_3_1778773445618298300.ppm
SimpleFlight	1778773417687	-641.117	125.373	-10.9304	-0.00872629	-0.00802564	-7.2664e-05	0.99993	img_SimpleFlight_0_0_1778773446365655500.png;img_SimpleFlight_0_5_1778773446366752700.png;img_SimpleFlight_0_3_1778773446367767700.ppm
SimpleFlight	1778773418230	-641.647	125.363	-10.8908	-0.00872656	0.00133827	1.19964e-05	0.999961	img_SimpleFlight_0_0_1778773446925532300.png;img_SimpleFlight_0_5_1778773446927318700.png;img_SimpleFlight_0_3_1778773446928048500.ppm
SimpleFlight	1778773418944	-642.344	125.351	-10.8623	-0.00872657	0.00090149	8.0532e-06	0.999961	img_SimpleFlight_0_0_1778773447645860500.png;img_SimpleFlight_0_5_1778773447647537900.png;img_SimpleFlight_0_3_1778773447648650300.ppm
